HomeTeam,AwayTeam
Everton,Liverpool
Aston Villa,Southampton
Brentford,Newcastle
Crystal Palace,Man City
Man Utd,Nott'm Forest
Fulham,Arsenal
Ipswich,AFC Bournemouth
Leicester,Brighton
Spurs,Chelsea
West Ham,Wolves
Arsenal,Everton
Liverpool,Fulham
Newcastle,Leicester
Wolves,Ipswich
Nott'm Forest,Aston Villa
Brighton,Crystal Palace
Man City,Man Utd
Chelsea,Brentford
Southampton,Spurs
AFC Bournemouth,West Ham
Aston Villa,Man City
Brentford,Nott'm Forest
Ipswich,Newcastle
West Ham,Brighton
Crystal Palace,Arsenal
Everton,Chelsea
Fulham,Southampton
Leicester,Wolves
Man Utd,AFC Bournemouth
Spurs,Liverpool
Man City,Everton
AFC Bournemouth,Crystal Palace
Chelsea,Fulham
Newcastle,Aston Villa
Nott'm Forest,Spurs
Southampton,West Ham
Wolves,Man Utd
Liverpool,Leicester
Brighton,Brentford
Arsenal,Ipswich
Leicester,Man City
Crystal Palace,Southampton
Everton,Nott'm Forest
Fulham,AFC Bournemouth
Spurs,Wolves
West Ham,Liverpool
Aston Villa,Brighton
Ipswich,Chelsea
Man Utd,Newcastle
Brentford,Arsenal
Spurs,Newcastle
AFC Bournemouth,Everton
Aston Villa,Leicester
Crystal Palace,Chelsea
Man City,West Ham
Southampton,Brentford
Brighton,Arsenal
Fulham,Ipswich
Liverpool,Man Utd
Wolves,Nott'm Forest
Brentford,Man City
Chelsea,AFC Bournemouth
West Ham,Fulham
Nott'm Forest,Liverpool
Everton,Aston Villa
Leicester,Crystal Palace
Newcastle,Wolves
Arsenal,Spurs
Ipswich,Brighton
Man Utd,Southampton
Newcastle,AFC Bournemouth
Brentford,Liverpool
Leicester,Fulham
West Ham,Crystal Palace
Arsenal,Aston Villa
Everton,Spurs
Man Utd,Brighton
Nott'm Forest,Southampton
Ipswich,Man City
Chelsea,Wolves
AFC Bournemouth,Nott'm Forest
Brighton,Everton
Liverpool,Ipswich
Southampton,Newcastle
Wolves,Arsenal
Man City,Chelsea
Crystal Palace,Brentford
Spurs,Leicester
Aston Villa,West Ham
Fulham,Man Utd
AFC Bournemouth,Liverpool
Arsenal,Man City
Brentford,Spurs
Chelsea,West Ham
Everton,Leicester City
Ipswich Town,Southampton
Man Utd,Crystal Palace
Newcastle United,Fulham
Nottingham Forest,Brighton
Wolves,Aston Villa 
Aston Villa,Ipswich Town
Brighton,Chelsea
Crystal Palace,Everton
Fulham,Nottingham Forest
Leicester City,Arsenal
Liverpool,Wolves
Man City,Newcastle United
Southampton,AFC Bournemouth
Spurs,Man Utd
West Ham,Brentford
AFC Bournemouth,Wolves
Arsenal,West Ham
Aston Villa,Chelsea
Everton,Man Utd
Fulham,Crystal Palace
Ipswich Town,Spurs
Leicester City,Brentford
Man City,Liverpool
Newcastle United,Nottingham Forest
Southampton,Brighton
Brentford,Everton
Brighton,AFC Bournemouth
Nottingham Forest,Arsenal
Spurs,Man City
West Ham,Leicester City
Wolves,Fulham
Crystal Palace,Aston Villa
Chelsea,Southampton
Liverpool,Newcastle United
Man Utd,Ipswich Town
Brentford,Aston Villa
Brighton,Fulham
Chelsea,Leicester City
Crystal Palace,Ipswich Town
Liverpool,Southampton
Man Utd,Arsenal
Nottingham Forest,Man City
Spurs,AFC Bournemouth
West Ham,Newcastle United
Wolves,Everton
AFC Bournemouth,Brentford
Arsenal,Chelsea
Aston Villa,Liverpool
Everton,West Ham
Fulham,Spurs
Ipswich Town,Nottingham Forest
Leicester City,Man Utd
Man City,Brighton
Newcastle United,Crystal Palace
Southampton,Wolves 
AFC Bournemouth,Ipswich Town
Arsenal,Fulham
Brighton,Aston Villa
Nottingham Forest,Man Utd
Wolves,West Ham
Chelsea,Spurs
Man City,Leicester City
Newcastle United,Brentford
Southampton,Crystal Palace 
Liverpool,Everton
Aston Villa,Nottingham Forest
Brentford,Chelsea
Crystal Palace,Brighton
Everton,Arsenal
Fulham,Liverpool
Ipswich Town,Wolves
Leicester City,Newcastle United
Man Utd,Man City
Spurs,Southampton
West Ham,AFC Bournemouth 
AFC Bournemouth,Fulham
Arsenal,Brentford
Brighton,Leicester City
Chelsea,Ipswich Town
Liverpool,West Ham
Man City,Crystal Palace
Newcastle United,Man Utd
Nottingham Forest,Everton
Southampton,Aston Villa
Wolves,Spurs 
Aston Villa,Newcastle United
