Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA,Time,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2.5,B365<2.5,P>2.5,P<2.5,Max>2.5,Max<2.5,Avg>2.5,Avg<2.5,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2.5,B365C<2.5,PC>2.5,PC<2.5,MaxC>2.5,MaxC<2.5,AvgC>2.5,AvgC<2.5,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA,HomeElo,AwayElo,HomeRank,AwayRank,HomePlayerRatingCount,HomePlayerRatingMean,HomePlayerRatingStd,AwayPlayerRatingCount,AwayPlayerRatingMean,AwayPlayerRatingStd,TeamEloWinProb,PlayerEloDrawProb,PlayerEloWinProb,HomeEloMomentum,AwayEloMomentum,HomeRankMomentum,AwayRankMomentum,HI,AI
E0,01-Apr-18,Chelsea,Tottenham,1,3,A,1,1,D,A Marriner,14,12,4,7,4,11,5,5,0,1,0,0,2.29,3.29,3.1,2.35,3.25,3.2,2.3,3.4,3.1,2.35,3.25,3.0,2.43,3.4,3.18,2.3,3.2,3.1,2.4,3.4,3.13,39.0,2.5,2.36,3.41,3.29,3.26,3.12,37.0,2.09,2.01,1.86,1.8,20.0,-0.25,2.08,2.01,1.88,1.84,2.3,3.43,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854.7713623,1924.80249023,5.0,2.0,15.0,7.018666666666667,0.3586802971387688,13.0,7.043076923076923,0.3142606614159804,0.4005601776806015,0.33,0.33,62.88757325000006,-12.539672850000215,-2.0,1.0,0.10500000000000001,0.11299999999999999
E0,01-Apr-18,Arsenal,Stoke,3,0,H,0,0,D,C Pawson,24,8,11,2,9,13,6,5,1,2,0,0,1.28,5.5,10.0,1.3,5.5,9.75,1.35,5.3,8.0,1.3,5.25,10.0,1.31,6.1,10.47,1.3,5.5,10.0,1.3,6.0,11.0,39.0,1.35,1.31,6.15,5.64,11.0,9.57,32.0,1.57,1.48,2.75,2.62,19.0,-1.5,1.9,1.85,2.06,2.0,1.31,6.05,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1817.71716309,1619.94262695,6.0,18.0,14.0,6.9957142857142856,0.3042018663818552,12.0,6.68,0.2099603137103136,0.7574007768311608,0.33,0.33,20.97888183000009,7.470214850000048,0.0,-2.0,0.09099999999999997,0.0
E0,01-Apr-19,Arsenal,Newcastle,2,0,H,1,0,H,A Taylor,7,3,4,1,11,10,6,2,2,0,0,0,1.36,5.25,9.5,1.36,5.0,8.5,1.35,5.3,8.0,,,,1.39,5.29,8.57,1.36,5.0,8.5,1.4,5.0,8.5,33.0,1.42,1.39,5.3,4.95,9.5,8.36,31.0,1.65,1.59,2.52,2.36,21.0,-1.5,2.18,2.1,1.81,1.77,1.46,4.66,8.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1888.32275391,1685.69055176,5.0,14.0,15.0,6.802666666666667,0.2480985467286918,13.0,6.604615384615385,0.2699463019142136,0.7625017810652897,0.2642348439803302,0.5834905606408989,-44.682373050000024,-34.06945801000006,0.0,0.0,0.10199999999999992,0.027999999999999997
E0,01-Apr-23,Chelsea,Aston Villa,0,2,A,0,1,A,A Madley,27,5,8,2,14,16,13,2,3,3,0,0,1.67,3.8,5.25,1.66,3.75,5.25,1.65,3.85,5.5,,,,1.69,3.83,5.57,1.67,3.7,5.25,1.62,3.75,5.5,,,,,,,,,,,,,,,,,,,1.63,4.09,6.06,17:30,1.74,4.0,5.75,1.68,3.83,5.4,1.97,1.93,2.0,1.89,2.04,1.94,1.93,1.89,-0.75,1.86,2.04,1.9,2.0,1.92,2.08,1.86,2.01,1.6,3.8,6.0,1.62,3.8,5.75,1.65,3.85,5.5,1.57,3.8,6.0,1.57,4.0,6.0,1.67,4.1,6.3,1.62,3.95,5.93,1.98,1.92,1.99,1.92,2.05,2.03,1.94,1.89,-1.0,2.04,1.86,2.07,1.86,2.11,1.88,2.05,1.82,1859.50634766,1764.12915039,5.0,10.0,14.0,6.892142857142858,0.1981405911910809,14.0,6.949285714285715,0.2117432503803431,0.6339117400219613,0.2837564910095451,0.3455255080087639,-3.1088867200001005,-16.86694336000005,0.0,2.0,0.10600000000000004,0.0
E0,01-Apr-23,Brighton,Brentford,3,3,D,2,2,D,M Oliver,33,7,15,5,16,10,14,0,2,1,0,0,1.67,4.0,5.0,1.65,3.9,5.0,1.65,4.0,5.25,,,,1.67,4.18,5.16,1.65,3.9,5.0,1.62,3.9,5.25,,,,,,,,,,,,,,,,,,,1.64,4.34,5.57,15:00,1.72,4.33,5.25,1.67,4.08,5.05,1.73,2.1,1.78,2.12,1.82,2.15,1.76,2.09,-0.75,1.84,2.06,1.85,2.06,1.9,2.08,1.84,2.03,1.57,4.2,5.75,1.58,4.1,5.5,1.65,4.0,5.25,1.62,3.9,5.5,1.57,4.0,6.0,1.68,4.34,6.0,1.62,4.14,5.56,1.8,2.0,1.81,2.09,1.87,2.17,1.8,2.03,-1.0,2.01,1.89,2.1,1.84,2.11,1.9,2.05,1.83,1827.83215332,1791.74316406,8.0,9.0,11.0,7.104545454545454,0.3128276794415631,15.0,6.928,0.2989581910568768,0.551750244620339,0.2450718425248149,0.5559284058326535,-5.9241943399999855,-3.8519287100000383,0.0,0.0,0.035,0.0
E0,01-Apr-23,Bournemouth,Fulham,2,1,H,0,1,A,P Bankes,12,10,7,2,15,13,4,3,1,4,0,0,2.55,3.3,2.8,2.5,3.2,2.85,2.55,3.2,2.9,,,,2.56,3.44,2.89,2.55,3.25,2.75,2.55,3.2,2.8,,,,,,,,,,,,,,,,,,,2.61,3.32,2.97,15:00,2.63,3.52,2.92,2.56,3.34,2.84,2.0,1.8,2.07,1.81,2.11,1.85,2.04,1.8,0.0,1.83,2.07,1.84,2.08,1.86,2.1,1.83,2.03,2.5,3.25,2.9,2.6,3.2,2.8,2.55,3.2,2.9,2.55,3.1,2.88,2.55,3.2,2.9,2.65,3.46,2.99,2.56,3.28,2.9,2.2,1.67,2.24,1.72,2.25,1.83,2.13,1.74,0.0,1.8,2.1,1.84,2.1,1.87,2.14,1.82,2.05,1652.87463379,1728.14892578,20.0,15.0,14.0,6.742857142857142,0.2270440036465106,15.0,6.926,0.2404939361674911,0.3933353392070124,0.2707901286844758,0.2611763570985169,-18.405517579999923,-6.59790038999995,0.0,0.0,0.002,0.0
E0,01-Apr-23,Man City,Liverpool,4,1,H,1,1,D,S Hooper,17,4,8,1,9,12,7,1,1,1,0,0,1.62,4.2,5.0,1.61,4.1,5.25,1.63,4.3,4.9,,,,1.66,4.22,5.26,1.62,4.0,5.25,1.6,4.0,5.25,,,,,,,,,,,,,,,,,,,1.67,4.25,5.3,12:30,1.7,4.4,5.5,1.64,4.2,5.19,1.67,2.2,1.69,2.26,1.73,2.36,1.65,2.27,-1.0,2.09,1.81,2.1,1.81,2.15,1.86,2.07,1.81,1.65,4.2,5.0,1.66,4.1,4.75,1.63,4.3,4.9,1.65,3.9,5.0,1.65,4.1,5.0,1.74,4.35,5.4,1.68,4.15,4.97,1.62,2.3,1.67,2.32,1.7,2.48,1.63,2.29,-0.75,1.82,2.08,1.85,2.08,1.91,2.12,1.83,2.03,2042.07543945,1934.42553711,1.0,3.0,15.0,7.266,0.3412486874211631,14.0,7.0685714285714285,0.2137708099429702,0.6501463690525332,0.2408198440647386,0.5676816442697696,-24.692749020000065,4.6215820299998995,0.0,-1.0,0.133,0.135
E0,01-Apr-23,Nott'm Forest,Wolves,1,1,D,1,0,H,C Kavanagh,17,8,7,1,14,13,4,3,3,5,0,0,3.0,3.1,2.55,2.85,3.1,2.6,2.95,3.15,2.55,,,,3.01,3.16,2.64,2.88,3.1,2.55,2.9,3.0,2.6,,,,,,,,,,,,,,,,,,,3.44,3.16,2.41,15:00,3.15,3.3,2.7,2.96,3.13,2.61,2.38,1.57,2.39,1.63,2.44,1.65,2.38,1.59,0.0,2.08,1.82,2.09,1.83,2.12,1.86,2.06,1.81,3.3,3.1,2.38,3.3,3.0,2.35,2.95,3.15,2.55,3.4,3.0,2.3,3.3,3.1,2.38,3.47,3.32,2.55,3.32,3.12,2.39,2.5,1.53,2.56,1.56,2.56,1.66,2.44,1.57,0.25,1.89,2.01,1.89,2.04,1.92,2.07,1.86,2.0,1645.27526855,1707.53881836,21.0,17.0,11.0,6.76090909090909,0.162506198228898,15.0,6.6866666666666665,0.2449126828529348,0.4113426248441633,0.2736137474020145,0.4548191544837944,7.678344729999935,0.8562011699998493,-2.0,-1.0,0.0,0.022
E0,01-Apr-23,Arsenal,Leeds,4,1,H,1,0,H,D England,13,7,6,5,11,13,4,3,0,2,0,0,1.29,6.0,9.0,1.29,5.75,10.0,1.3,5.75,10.0,,,,1.29,5.97,10.92,1.27,5.5,11.0,1.25,5.75,11.0,,,,,,,,,,,,,,,,,,,1.27,6.75,10.5,15:00,1.31,6.25,12.0,1.29,5.84,10.48,1.53,2.5,1.55,2.58,1.57,2.58,1.53,2.51,-1.5,1.84,2.06,1.85,2.06,1.88,2.08,1.83,2.04,1.25,6.5,9.5,1.27,6.0,10.5,1.3,5.75,10.0,1.24,6.0,11.0,1.25,6.0,12.0,1.32,6.75,12.5,1.27,6.3,10.67,1.44,2.75,1.45,2.83,1.57,2.83,1.47,2.68,-1.75,1.98,1.92,1.99,1.92,2.08,1.97,1.95,1.9,1937.35522461,1711.10632324,2.0,16.0,15.0,7.215999999999998,0.3463485720099526,14.0,6.696428571428571,0.1853801939974458,0.7862375075637699,0.1229326356227962,0.8084227188350633,-19.110351560000023,-16.219360349999988,1.0,1.0,0.10399999999999998,0.0
E0,01-Apr-23,Crystal Palace,Leicester,2,1,H,0,0,D,T Robinson,31,3,9,2,12,16,10,1,3,4,0,0,2.5,3.25,2.9,2.5,3.25,2.87,2.55,3.25,2.85,,,,2.56,3.28,3.02,2.5,3.2,2.88,2.5,3.13,2.9,,,,,,,,,,,,,,,,,,,2.37,3.39,3.27,15:00,2.62,3.4,3.05,2.54,3.24,2.94,2.1,1.73,2.2,1.72,2.25,1.76,2.17,1.7,0.0,1.79,2.11,1.8,2.13,1.83,2.13,1.79,2.08,2.38,3.3,3.1,2.35,3.25,3.1,2.55,3.25,2.85,2.3,3.2,3.2,2.38,3.25,3.2,2.55,3.46,3.33,2.38,3.31,3.16,2.0,1.8,2.12,1.79,2.21,1.84,2.1,1.76,-0.25,2.03,1.87,2.03,1.89,2.06,1.91,2.02,1.85,1728.99938965,1748.65527344,14.0,12.0,15.0,6.832000000000002,0.3016001768346076,13.0,6.790000000000001,0.3021716272380521,0.4717430496977285,0.2670657376320781,0.4836854049969878,6.169067379999888,24.473876949999976,0.0,-2.0,0.014000000000000002,0.029000000000000005
