HomeTeam,AwayTeam,Date,Attendance
Everton,Liverpool,2024-12-19 20:00:00,-1
Bournemouth,West Ham,2024-12-16 20:00:00,-1
Aston Villa,Man City,2024-12-21 12:30:00,-1
Brentford,Nott'm Forest,2024-12-21 15:00:00,-1
Ipswich,Newcastle,2024-12-21 15:00:00,-1
West Ham,Brighton,2024-12-21 15:00:00,-1
Crystal Palace,Arsenal,2024-12-21 17:30:00,-1
Everton,Chelsea,2024-12-22 14:00:00,-1
Fulham,Southampton,2024-12-22 14:00:00,-1
Leicester,Wolves,2024-12-22 14:00:00,-1
Man United,Bournemouth,2024-12-22 14:00:00,-1
Tottenham,Liverpool,2024-12-22 16:30:00,-1
Man City,Everton,2024-12-26 12:30:00,-1
Bournemouth,Crystal Palace,2024-12-26 15:00:00,-1
Chelsea,Fulham,2024-12-26 15:00:00,-1
Newcastle,Aston Villa,2024-12-26 15:00:00,-1
Nott'm Forest,Tottenham,2024-12-26 15:00:00,-1
Southampton,West Ham,2024-12-26 15:00:00,-1
Wolves,Man United,2024-12-26 17:30:00,-1
Liverpool,Leicester,2024-12-26 20:00:00,-1
Brighton,Brentford,2024-12-27 19:30:00,-1
Arsenal,Ipswich,2024-12-27 20:15:00,-1
Leicester,Man City,2024-12-29 14:30:00,-1
Crystal Palace,Southampton,2024-12-29 15:00:00,-1
Everton,Nott'm Forest,2024-12-29 15:00:00,-1
Fulham,Bournemouth,2024-12-29 15:00:00,-1
Tottenham,Wolves,2024-12-29 15:00:00,-1
West Ham,Liverpool,2024-12-29 17:15:00,-1
Aston Villa,Brighton,2024-12-30 19:45:00,-1
Ipswich,Chelsea,2024-12-30 19:45:00,-1
Man United,Newcastle,2024-12-30 20:00:00,-1
Brentford,Arsenal,2025-01-01 17:30:00,-1
Tottenham,Newcastle,2025-01-04 12:30:00,-1
Bournemouth,Everton,2025-01-04 15:00:00,-1
Aston Villa,Leicester,2025-01-04 15:00:00,-1
Crystal Palace,Chelsea,2025-01-04 15:00:00,-1
Man City,West Ham,2025-01-04 15:00:00,-1
Southampton,Brentford,2025-01-04 15:00:00,-1
Brighton,Arsenal,2025-01-04 17:30:00,-1
Fulham,Ipswich,2025-01-05 14:00:00,-1
Liverpool,Man United,2025-01-05 16:30:00,-1
Wolves,Nott'm Forest,2025-01-06 20:00:00,-1
Brentford,Man City,2025-01-14 19:30:00,-1
Chelsea,Bournemouth,2025-01-14 19:30:00,-1
West Ham,Fulham,2025-01-14 19:30:00,-1
Nott'm Forest,Liverpool,2025-01-14 20:00:00,-1
Everton,Aston Villa,2025-01-15 19:30:00,-1
Leicester,Crystal Palace,2025-01-15 19:30:00,-1
Newcastle,Wolves,2025-01-15 19:30:00,-1
Arsenal,Tottenham,2025-01-15 20:00:00,-1
Ipswich,Brighton,2025-01-16 19:30:00,-1
Man United,Southampton,2025-01-16 20:00:00,-1
Newcastle,Bournemouth,2025-01-18 12:30:00,-1
Brentford,Liverpool,2025-01-18 15:00:00,-1
Leicester,Fulham,2025-01-18 15:00:00,-1
West Ham,Crystal Palace,2025-01-18 15:00:00,-1
Arsenal,Aston Villa,2025-01-18 17:30:00,-1
Everton,Tottenham,2025-01-19 14:00:00,-1
Man United,Brighton,2025-01-19 14:00:00,-1
Nott'm Forest,Southampton,2025-01-19 14:00:00,-1
Ipswich,Man City,2025-01-19 16:30:00,-1
