Date,HomeTeam,AwayTeam,HomeElo,AwayElo,HI,AI
2017-08-11,Arsenal,Leicester,1847.96435547,1716.67285156,0.1119999999999999,0.0799999999999999
2017-08-12,Brighton,Man City,1583.4777832,1866.48486328,0.024,0.1060000000000001
2017-08-12,Chelsea,Burnley,1909.07751465,1628.98840332,0.1049999999999999,0.0449999999999999
2017-08-12,Crystal Palace,Huddersfield,1642.86242676,1475.47729492,0.0189999999999999,0.008
2017-08-12,Everton,Stoke,1750.21777344,1662.61376953,0.05,0.031
2017-08-12,Southampton,Swansea,1691.7442627,1649.37011719,0.054,0.038
2017-08-12,Watford,Liverpool,1603.34594727,1837.09350586,0.0259999999999999,0.148
2017-08-12,West Brom,Bournemouth,1645.13134766,1653.75756836,0.0229999999999999,0.0349999999999999
2017-08-13,Man United,West Ham,1857.4798584,1672.55529785,0.1009999999999999,0.046
2017-08-13,Newcastle,Tottenham,1623.17907715,1887.18969727,0.033,0.127
2017-08-19,Swansea,Man United,1655.30212402,1865.73864746,0.023,0.13
2017-08-19,Stoke,Arsenal,1661.06262207,1854.21960449,0.025,0.12
2017-08-19,Southampton,West Ham,1691.3659668,1669.85021973,0.045,0.023
2017-08-19,Burnley,West Brom,1647.22155762,1654.00524902,0.0499999999999999,0.035
2017-08-19,Leicester,Brighton,1717.46289062,1581.69580078,0.0399999999999999,0.017
2017-08-19,Bournemouth,Watford,1650.11535645,1610.51123047,0.023,0.0289999999999999
2017-08-19,Liverpool,Crystal Palace,1843.58752441,1621.48901367,0.1139999999999999,0.02
2017-08-20,Huddersfield,Newcastle,1502.40429688,1621.89611816,0.012,0.018
2017-08-20,Tottenham,Chelsea,1895.19580078,1896.39807129,0.121,0.124
2017-08-21,Man City,Everton,1875.31213379,1758.28417969,0.1019999999999999,0.069
2017-08-26,Newcastle,West Ham,1614.21813965,1666.8536377,0.012,0.011
2017-08-26,Watford,Brighton,1628.79663086,1579.58666992,0.03,0.011
2017-08-26,Man United,Leicester,1878.04846191,1723.85888672,0.1029999999999999,0.096
2017-08-26,Crystal Palace,Swansea,1622.12817383,1648.74316406,0.011,0.019
2017-08-26,Bournemouth,Man City,1637.58068848,1872.00402832,0.017,0.1099999999999999
2017-08-26,Huddersfield,Southampton,1514.3692627,1699.81872559,0.012,0.054
2017-08-27,Chelsea,Everton,1908.73339844,1769.3651123,0.1259999999999999,0.063
2017-08-27,Liverpool,Arsenal,1853.0501709,1846.18505859,0.122,0.13
2017-08-27,Tottenham,Burnley,1888.31665039,1640.18383789,0.1059999999999999,0.038
2017-08-27,West Brom,Stoke,1666.79394531,1674.84790039,0.039,0.032
2017-09-09,Leicester,Chelsea,1719.74377441,1909.0279541,0.0529999999999999,0.123
2017-09-09,Stoke,Man United,1675.14245605,1882.75256348,0.035,0.118
2017-09-09,Southampton,Watford,1700.11328125,1625.73046875,0.036,0.033
2017-09-09,Man City,Liverpool,1872.29858398,1853.34472656,0.1119999999999999,0.153
2017-09-09,Everton,Tottenham,1770.53967285,1888.61120605,0.0539999999999999,0.139
2017-09-09,Brighton,West Brom,1579.88122559,1666.79394531,0.0099999999999999,0.04
2017-09-09,Arsenal,Bournemouth,1846.18505859,1633.59631348,0.0739999999999999,0.013
2017-09-10,Burnley,Crystal Palace,1647.7689209,1609.44763184,0.029,0.008
2017-09-10,Swansea,Newcastle,1661.71838379,1614.51269531,0.021,0.026
2017-09-11,West Ham,Huddersfield,1654.32995605,1514.66381836,0.008,0.019
2017-09-15,Bournemouth,Brighton,1634.78833008,1600.18359375,0.006,0.011
2017-09-16,Tottenham,Swansea,1905.04858398,1655.75878906,0.1129999999999999,0.019
2017-09-16,West Brom,West Ham,1658.19873047,1664.14074707,0.0219999999999999,0.016
2017-09-16,Newcastle,Stoke,1643.49987793,1685.68762207,0.0269999999999999,0.027
2017-09-16,Watford,Man City,1644.87561035,1902.32385254,0.043,0.0989999999999999
2017-09-16,Huddersfield,Leicester,1518.20910645,1717.0234375,0.012,0.033
2017-09-16,Crystal Palace,Southampton,1606.328125,1685.19384766,0.003,0.025
2017-09-16,Liverpool,Burnley,1853.7746582,1658.26098633,0.115,0.063
2017-09-17,Chelsea,Arsenal,1925.27661133,1843.62426758,0.1169999999999999,0.132
2017-09-17,Man United,Everton,1886.85070801,1744.37561035,0.1069999999999999,0.044
2017-09-23,Stoke,Chelsea,1682.85095215,1922.43981934,0.017,0.138
2017-09-23,Southampton,Man United,1690.45202637,1890.81262207,0.03,0.102
2017-09-23,Man City,Crystal Palace,1899.48706055,1598.23327637,0.0749999999999999,0.003
2017-09-23,West Ham,Tottenham,1663.24499512,1894.90026855,0.014,0.143
2017-09-23,Everton,Bournemouth,1737.57702637,1637.31445312,0.022,0.011
2017-09-23,Burnley,Huddersfield,1661.93066406,1515.37243652,0.052,0.013
2017-09-23,Leicester,Liverpool,1713.51245117,1844.43139648,0.037,0.133
2017-09-23,Swansea,Watford,1660.23364258,1635.70153809,0.011,0.028
2017-09-24,Brighton,Newcastle,1597.34692383,1647.84606934,0.0039999999999999,0.041
2017-09-25,Arsenal,West Brom,1848.00109863,1653.42102051,0.087,0.015
2017-09-30,West Ham,Swansea,1667.86523438,1660.01586914,0.005,0.005
2017-09-30,Bournemouth,Leicester,1643.71826172,1717.44543457,0.004,0.018
2017-09-30,Chelsea,Man City,1948.48461914,1925.77185059,0.1109999999999999,0.13
2017-09-30,Huddersfield,Tottenham,1534.75109863,1915.9777832,0.0059999999999999,0.1289999999999999
2017-09-30,Man United,Crystal Palace,1918.05664062,1605.71789551,0.068,0.003
2017-09-30,Stoke,Southampton,1676.45239258,1695.77050781,0.008,0.024
2017-09-30,West Brom,Watford,1660.14929199,1656.62646484,0.0079999999999999,0.0319999999999999
2017-10-01,Newcastle,Liverpool,1648.84484863,1858.45568848,0.022,0.153
2017-10-01,Everton,Burnley,1751.88037109,1665.16687012,0.02,0.025
2017-10-01,Arsenal,Brighton,1861.97998047,1610.08898926,0.0959999999999999,0.006
2017-10-14,Burnley,West Ham,1665.16687012,1673.8684082,0.0389999999999999,0.0119999999999999
2017-10-14,Crystal Palace,Chelsea,1601.38085938,1946.88122559,0.001,0.1119999999999999
2017-10-14,Liverpool,Man United,1856.85229492,1916.453125,0.131,0.121
2017-10-14,Man City,Stoke,1934.30456543,1676.45239258,0.1009999999999999,0.015
2017-10-14,Swansea,Huddersfield,1652.40942383,1533.14758301,0.002,0.003
2017-10-14,Tottenham,Bournemouth,1914.37438965,1642.11474609,0.118,0.002
2017-10-14,Watford,Arsenal,1655.02307129,1863.25927734,0.038,0.14
2017-10-15,Brighton,Everton,1605.86755371,1730.7088623,0.0049999999999999,0.019
2017-10-15,Southampton,Newcastle,1687.33422852,1652.75769043,0.017,0.0209999999999999
2017-10-16,Leicester,West Brom,1715.66821289,1656.52453613,0.011,0.009
2017-10-20,West Ham,Brighton,1681.55444336,1613.19750977,0.009,0.007
2017-10-21,Chelsea,Watford,1923.5534668,1671.93115234,0.124,0.0819999999999999
2017-10-21,Huddersfield,Man United,1529.79931641,1930.8404541,0.001,0.109
2017-10-21,Man City,Burnley,1949.13964844,1678.31567383,0.1009999999999999,0.0559999999999999
2017-10-21,Newcastle,Crystal Palace,1661.39892578,1618.96032715,0.0209999999999999,0.002
2017-10-21,Southampton,West Brom,1690.17504883,1663.36975098,0.012,0.005
2017-10-21,Stoke,Bournemouth,1684.8494873,1646.42980957,0.008,0.002
2017-10-21,Swansea,Leicester,1661.0456543,1717.8651123,0.004,0.009
2017-10-22,Everton,Arsenal,1721.37316895,1860.03271484,0.017,0.137
2017-10-22,Tottenham,Liverpool,1931.62390137,1863.8515625,0.141,0.186
2017-10-28,Watford,Stoke,1671.93115234,1671.49621582,0.033,0.0039999999999999
2017-10-28,West Brom,Man City,1657.45690918,1946.69970703,0.0049999999999999,0.1069999999999999
2017-10-28,Man United,Tottenham,1928.4005127,1929.18395996,0.1069999999999999,0.1379999999999999
2017-10-28,Crystal Palace,West Ham,1613.51123047,1658.96679688,0.0,0.004
2017-10-28,Liverpool,Huddersfield,1861.41162109,1527.359375,0.0959999999999999,0.005
2017-10-28,Bournemouth,Chelsea,1654.90319824,1923.7166748,0.002,0.1309999999999999
2017-10-28,Arsenal,Swansea,1861.13305664,1652.68115234,0.092,0.0069999999999999
2017-10-29,Brighton,Southampton,1630.90527344,1693.64794922,0.004,0.012
2017-10-29,Leicester,Everton,1723.78967285,1710.68859863,0.011,0.009
2017-10-30,Burnley,Newcastle,1675.35559082,1664.40820312,0.0219999999999999,0.024
2017-11-04,West Ham,Liverpool,1665.04223633,1862.10461426,0.005,0.1439999999999999
2017-11-04,Swansea,Brighton,1655.91723633,1636.33105469,0.002,0.0049999999999999
2017-11-04,Stoke,Leicester,1686.3795166,1737.77087402,0.0039999999999999,0.032
